,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary_Data,Max_Salary,Min_Salary,Average_Salary,Age of the company in years,AWS,Modeling,Equity,SQL,Fintech,python,Risk,Consulting,Excel,Type,Seniority_Status
816,"Business Analyst, Sales Technology",£50K-£68K (Glassdoor Est.),"Job title: Business Analyst, Sales Technology
Job type: Permanent
Emp type: Full-time
Salary:
Negotiable
Location: London, United Kingdom
Job published: 2020-03-05
Job ID: 41713

Job Description

Our client is looking for a Business Analyst to join their London office. You will be expected to own the business process workflow within the technology platform for a key distribution channel within the firm. The platform includes the CRM system, Business Intelligence solution, and other integrated applications used by the business.

Responsibilities:
The focus of this position is to work closely with the business to understand their workflow and data needs from end to end and design the technical solutions to meet those needs.
On mid-size to larger projects you would be responsible for creating project plans, assigning tasks, tracking execution, as well as owning tasks.
On projects of all sizes you would be responsible for gathering requirements, designing solutions, testing solutions, communicating with stakeholders and executing training.
You would also be responsible for basic data transfer ensuring data from source systems reach the data warehouse and therefore would be expected to have or want to build some experience with SQL.


Requirements:
Having an in-depth understanding of the business processes of an asset management distribution function
Closely coordinating with business stakeholders to gather, organize, and prioritize requirements
Creating project plans for mid-size and larger projects and own the execution of the plan
Designing, testing, and training solutions provided to the business
Coordinating with development teams across the entire technology platform
Communicating with executive stakeholders on project status and deliverables
Writing and executing basic SQL queries to ensure data is appropriately reaching the data warehouse
Providing production support Requirements
Strong organizational, interpersonal, and communication skills
Strong project management skills
Ability to work on multiple concurrent projects at once
Experience working on large scale projects as well as handling day-to-day operational requests from the business
Extremely proficient in Excel and Powerpoint
Experience with task management tools such as JIRA
Experience in consulting a strong plus
Experience in the distribution arm of asset management a plus
Experience with SQL or the desire to learn
Experience in CRM and BI platforms
Education:
A Bachelor’s degree in Computer Science or related field
If you would like to be considered for the position of Business Analyst or wish to discuss the role further then please leave your details below. Your resume will be held in confidence until you connect with a member of our team",4.2,NJF Global Holdings,"London, England","London, United Kingdom",51 to 200 employees,2003.0,Company - Private,Staffing & Outsourcing,Business Services,£10 to £25 million (GBP),Unsure,50000-68000 ,50000,68000,59000.0,17.0,0,0,0,1,0,0,0,1,1,business analyst,Junior Status
841,BAU Operations Analyst,£42K-£51K (Glassdoor Est.),"BAU Operations Analyst


Role title: BAU Operations
Analyst

Reports to: Operations
Manager

Contract:

Permanent

Operations - Divisional Overview

The Operations division is an integral part of the independent control
and support structure whose key mandate is to establish and maintain an
effective control environment. Robust control and risk management drives our
business.

Operations strategy is underpinned by 3 guiding principles:

=
Payments: Pay our policyholders, Trustees and counterparties accurately
and on time, within regulatory guidelines

=
Policyholders: Follow the Regulator’s Treating Customers Fairly (TCF)
guidance and ensure a best-in-class policyholder experience

=
Data: Maintain accurate and complete data for risk and capital
management

These 3 principles drive our processes and controls, and are essential
for protecting our reputation, managing our risk and capital position, and
managing our Third Party Administrators (TPAs).

General activities of the Operations team include:

• Act
as an independent control over transactions of the Business

• Trade
capture and risk mitigation to ensure bookings are an accurate reflection of
business risk

• Execution
and management of lifecycle events

• Support
of project teams in department-wide initiatives

• Development
of technology infrastructure to support the risk management and processing
capabilities of transactions

• Close
data analysis and reconciliations involving breaking down and data manipulation

The Operations BAU Team is responsible for ensuring all operational
requirements across our Liability and Reinsurance contracts are serviced
correctly. This role will suit a person who is enthusiastic, ambitious and
hard-working, who has a desire to work in a fast-paced and demanding
environment, who can work independently as well as being part of a small team,
and who is able to communicate effectively and demonstrate initiative. It is
key that the candidate understands the role that Operations plays in a
financial services firm. The candidate must possess an analytical mind-set
where they are able to formulate processes that achieve the required
controls.

The position available gives the candidate a lot of autonomy and it is
important that they are self-driven to deliver against targets whilst managing
time and expectations independently. The role would ideally suit a
graduate or an analyst with 1-2 years’ work experience.

Responsibilities:

=
Complete a range of daily control activities which include ensuring
front to back data flows are accurate, trade capture is correct and
payments/funding occur accurately and on time

=
Execution and management of lifecycle events such as routine data
cleanses

=
Monitor accuracy of liability and reinsurance data being maintained by
TPAs which ultimately drives the P/L for the business. This is done through
data reconciliations and the use of exception reporting

=
Work with our TPAs to ensure operational service is delivered accurately
and per SLA. This will involve resolving queries and working with our
TPAs to refine and build process improvements

=
Reporting of key risk metrics to management

=
Perform a number of data reconciliations, analysing results and seeing
issues through to completion

=
Continuous process improvement is key in this growth business and
supporting projects and technology change is a function of this role

Skills & Experience:

Required:

=
Minimum 2:1 degree from a leading university (please note strong
candidates with exceptional work experience will also be considered should the
degree criteria not be met)

=
Demonstrable ability to manage multiple projects, tasks and own
workload, whilst remaining focused on operational risks

=
Ability to demonstrate collaborative working practises, soliciting
feedback from others on work and ideas

=
Ability to think about the big picture and deliver above and beyond core
functions

=
Accuracy and absolute attention to detail

=
Strong communication skills to clearly articulate status and issues to
others

Preferred:

=
Strong MS Excel / VBA skills

=
Some pensions, insurance and/or reinsurance knowledge

=
Ability to work with complex documentation and identify operational
controls

=
Experience supervising or managing individuals

=
Understanding of risk controls in an operational environment, including
knowledge of RCSAs

If you would like to understand how we will process your data should you
apply to Rothesay Life, information can be found here: https://www.rothesaylife.com/media/1324/april-2019-ja-pn.pdf",4.8,Rothesay Life,"London, England","London, United Kingdom",201 to 500 employees,2007.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,Unsure,42000-51000 ,42000,51000,46500.0,13.0,0,0,0,0,0,0,1,0,1,Operations analyst,Junior Status
846,"Business Analyst, Sales Technology",£50K-£68K (Glassdoor Est.),"Job title: Business Analyst, Sales Technology
Job type: Permanent
Emp type: Full-time
Salary:
Negotiable
Location: London, United Kingdom
Job published: 2020-03-05
Job ID: 41713

Job Description

Our client is looking for a Business Analyst to join their London office. You will be expected to own the business process workflow within the technology platform for a key distribution channel within the firm. The platform includes the CRM system, Business Intelligence solution, and other integrated applications used by the business.

Responsibilities:
The focus of this position is to work closely with the business to understand their workflow and data needs from end to end and design the technical solutions to meet those needs.
On mid-size to larger projects you would be responsible for creating project plans, assigning tasks, tracking execution, as well as owning tasks.
On projects of all sizes you would be responsible for gathering requirements, designing solutions, testing solutions, communicating with stakeholders and executing training.
You would also be responsible for basic data transfer ensuring data from source systems reach the data warehouse and therefore would be expected to have or want to build some experience with SQL.


Requirements:
Having an in-depth understanding of the business processes of an asset management distribution function
Closely coordinating with business stakeholders to gather, organize, and prioritize requirements
Creating project plans for mid-size and larger projects and own the execution of the plan
Designing, testing, and training solutions provided to the business
Coordinating with development teams across the entire technology platform
Communicating with executive stakeholders on project status and deliverables
Writing and executing basic SQL queries to ensure data is appropriately reaching the data warehouse
Providing production support Requirements
Strong organizational, interpersonal, and communication skills
Strong project management skills
Ability to work on multiple concurrent projects at once
Experience working on large scale projects as well as handling day-to-day operational requests from the business
Extremely proficient in Excel and Powerpoint
Experience with task management tools such as JIRA
Experience in consulting a strong plus
Experience in the distribution arm of asset management a plus
Experience with SQL or the desire to learn
Experience in CRM and BI platforms
Education:
A Bachelor’s degree in Computer Science or related field
If you would like to be considered for the position of Business Analyst or wish to discuss the role further then please leave your details below. Your resume will be held in confidence until you connect with a member of our team",4.2,NJF Global Holdings,"London, England","London, United Kingdom",51 to 200 employees,2003.0,Company - Private,Staffing & Outsourcing,Business Services,£10 to £25 million (GBP),Unsure,50000-68000 ,50000,68000,59000.0,17.0,0,0,0,1,0,0,0,1,1,business analyst,Junior Status
871,BAU Operations Analyst,£42K-£51K (Glassdoor Est.),"BAU Operations Analyst


Role title: BAU Operations
Analyst

Reports to: Operations
Manager

Contract:

Permanent

Operations - Divisional Overview

The Operations division is an integral part of the independent control
and support structure whose key mandate is to establish and maintain an
effective control environment. Robust control and risk management drives our
business.

Operations strategy is underpinned by 3 guiding principles:

=
Payments: Pay our policyholders, Trustees and counterparties accurately
and on time, within regulatory guidelines

=
Policyholders: Follow the Regulator’s Treating Customers Fairly (TCF)
guidance and ensure a best-in-class policyholder experience

=
Data: Maintain accurate and complete data for risk and capital
management

These 3 principles drive our processes and controls, and are essential
for protecting our reputation, managing our risk and capital position, and
managing our Third Party Administrators (TPAs).

General activities of the Operations team include:

• Act
as an independent control over transactions of the Business

• Trade
capture and risk mitigation to ensure bookings are an accurate reflection of
business risk

• Execution
and management of lifecycle events

• Support
of project teams in department-wide initiatives

• Development
of technology infrastructure to support the risk management and processing
capabilities of transactions

• Close
data analysis and reconciliations involving breaking down and data manipulation

The Operations BAU Team is responsible for ensuring all operational
requirements across our Liability and Reinsurance contracts are serviced
correctly. This role will suit a person who is enthusiastic, ambitious and
hard-working, who has a desire to work in a fast-paced and demanding
environment, who can work independently as well as being part of a small team,
and who is able to communicate effectively and demonstrate initiative. It is
key that the candidate understands the role that Operations plays in a
financial services firm. The candidate must possess an analytical mind-set
where they are able to formulate processes that achieve the required
controls.

The position available gives the candidate a lot of autonomy and it is
important that they are self-driven to deliver against targets whilst managing
time and expectations independently. The role would ideally suit a
graduate or an analyst with 1-2 years’ work experience.

Responsibilities:

=
Complete a range of daily control activities which include ensuring
front to back data flows are accurate, trade capture is correct and
payments/funding occur accurately and on time

=
Execution and management of lifecycle events such as routine data
cleanses

=
Monitor accuracy of liability and reinsurance data being maintained by
TPAs which ultimately drives the P/L for the business. This is done through
data reconciliations and the use of exception reporting

=
Work with our TPAs to ensure operational service is delivered accurately
and per SLA. This will involve resolving queries and working with our
TPAs to refine and build process improvements

=
Reporting of key risk metrics to management

=
Perform a number of data reconciliations, analysing results and seeing
issues through to completion

=
Continuous process improvement is key in this growth business and
supporting projects and technology change is a function of this role

Skills & Experience:

Required:

=
Minimum 2:1 degree from a leading university (please note strong
candidates with exceptional work experience will also be considered should the
degree criteria not be met)

=
Demonstrable ability to manage multiple projects, tasks and own
workload, whilst remaining focused on operational risks

=
Ability to demonstrate collaborative working practises, soliciting
feedback from others on work and ideas

=
Ability to think about the big picture and deliver above and beyond core
functions

=
Accuracy and absolute attention to detail

=
Strong communication skills to clearly articulate status and issues to
others

Preferred:

=
Strong MS Excel / VBA skills

=
Some pensions, insurance and/or reinsurance knowledge

=
Ability to work with complex documentation and identify operational
controls

=
Experience supervising or managing individuals

=
Understanding of risk controls in an operational environment, including
knowledge of RCSAs

If you would like to understand how we will process your data should you
apply to Rothesay Life, information can be found here: https://www.rothesaylife.com/media/1324/april-2019-ja-pn.pdf",4.8,Rothesay Life,"London, England","London, United Kingdom",201 to 500 employees,2007.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,Unsure,42000-51000 ,42000,51000,46500.0,13.0,0,0,0,0,0,0,1,0,1,Operations analyst,Junior Status
876,"Business Analyst, Sales Technology",£50K-£68K (Glassdoor Est.),"Job title: Business Analyst, Sales Technology
Job type: Permanent
Emp type: Full-time
Salary:
Negotiable
Location: London, United Kingdom
Job published: 2020-03-05
Job ID: 41713

Job Description

Our client is looking for a Business Analyst to join their London office. You will be expected to own the business process workflow within the technology platform for a key distribution channel within the firm. The platform includes the CRM system, Business Intelligence solution, and other integrated applications used by the business.

Responsibilities:
The focus of this position is to work closely with the business to understand their workflow and data needs from end to end and design the technical solutions to meet those needs.
On mid-size to larger projects you would be responsible for creating project plans, assigning tasks, tracking execution, as well as owning tasks.
On projects of all sizes you would be responsible for gathering requirements, designing solutions, testing solutions, communicating with stakeholders and executing training.
You would also be responsible for basic data transfer ensuring data from source systems reach the data warehouse and therefore would be expected to have or want to build some experience with SQL.


Requirements:
Having an in-depth understanding of the business processes of an asset management distribution function
Closely coordinating with business stakeholders to gather, organize, and prioritize requirements
Creating project plans for mid-size and larger projects and own the execution of the plan
Designing, testing, and training solutions provided to the business
Coordinating with development teams across the entire technology platform
Communicating with executive stakeholders on project status and deliverables
Writing and executing basic SQL queries to ensure data is appropriately reaching the data warehouse
Providing production support Requirements
Strong organizational, interpersonal, and communication skills
Strong project management skills
Ability to work on multiple concurrent projects at once
Experience working on large scale projects as well as handling day-to-day operational requests from the business
Extremely proficient in Excel and Powerpoint
Experience with task management tools such as JIRA
Experience in consulting a strong plus
Experience in the distribution arm of asset management a plus
Experience with SQL or the desire to learn
Experience in CRM and BI platforms
Education:
A Bachelor’s degree in Computer Science or related field
If you would like to be considered for the position of Business Analyst or wish to discuss the role further then please leave your details below. Your resume will be held in confidence until you connect with a member of our team",4.2,NJF Global Holdings,"London, England","London, United Kingdom",51 to 200 employees,2003.0,Company - Private,Staffing & Outsourcing,Business Services,£10 to £25 million (GBP),Unsure,50000-68000 ,50000,68000,59000.0,17.0,0,0,0,1,0,0,0,1,1,business analyst,Junior Status
901,BAU Operations Analyst,£42K-£51K (Glassdoor Est.),"BAU Operations Analyst


Role title: BAU Operations
Analyst

Reports to: Operations
Manager

Contract:

Permanent

Operations - Divisional Overview

The Operations division is an integral part of the independent control
and support structure whose key mandate is to establish and maintain an
effective control environment. Robust control and risk management drives our
business.

Operations strategy is underpinned by 3 guiding principles:

=
Payments: Pay our policyholders, Trustees and counterparties accurately
and on time, within regulatory guidelines

=
Policyholders: Follow the Regulator’s Treating Customers Fairly (TCF)
guidance and ensure a best-in-class policyholder experience

=
Data: Maintain accurate and complete data for risk and capital
management

These 3 principles drive our processes and controls, and are essential
for protecting our reputation, managing our risk and capital position, and
managing our Third Party Administrators (TPAs).

General activities of the Operations team include:

• Act
as an independent control over transactions of the Business

• Trade
capture and risk mitigation to ensure bookings are an accurate reflection of
business risk

• Execution
and management of lifecycle events

• Support
of project teams in department-wide initiatives

• Development
of technology infrastructure to support the risk management and processing
capabilities of transactions

• Close
data analysis and reconciliations involving breaking down and data manipulation

The Operations BAU Team is responsible for ensuring all operational
requirements across our Liability and Reinsurance contracts are serviced
correctly. This role will suit a person who is enthusiastic, ambitious and
hard-working, who has a desire to work in a fast-paced and demanding
environment, who can work independently as well as being part of a small team,
and who is able to communicate effectively and demonstrate initiative. It is
key that the candidate understands the role that Operations plays in a
financial services firm. The candidate must possess an analytical mind-set
where they are able to formulate processes that achieve the required
controls.

The position available gives the candidate a lot of autonomy and it is
important that they are self-driven to deliver against targets whilst managing
time and expectations independently. The role would ideally suit a
graduate or an analyst with 1-2 years’ work experience.

Responsibilities:

=
Complete a range of daily control activities which include ensuring
front to back data flows are accurate, trade capture is correct and
payments/funding occur accurately and on time

=
Execution and management of lifecycle events such as routine data
cleanses

=
Monitor accuracy of liability and reinsurance data being maintained by
TPAs which ultimately drives the P/L for the business. This is done through
data reconciliations and the use of exception reporting

=
Work with our TPAs to ensure operational service is delivered accurately
and per SLA. This will involve resolving queries and working with our
TPAs to refine and build process improvements

=
Reporting of key risk metrics to management

=
Perform a number of data reconciliations, analysing results and seeing
issues through to completion

=
Continuous process improvement is key in this growth business and
supporting projects and technology change is a function of this role

Skills & Experience:

Required:

=
Minimum 2:1 degree from a leading university (please note strong
candidates with exceptional work experience will also be considered should the
degree criteria not be met)

=
Demonstrable ability to manage multiple projects, tasks and own
workload, whilst remaining focused on operational risks

=
Ability to demonstrate collaborative working practises, soliciting
feedback from others on work and ideas

=
Ability to think about the big picture and deliver above and beyond core
functions

=
Accuracy and absolute attention to detail

=
Strong communication skills to clearly articulate status and issues to
others

Preferred:

=
Strong MS Excel / VBA skills

=
Some pensions, insurance and/or reinsurance knowledge

=
Ability to work with complex documentation and identify operational
controls

=
Experience supervising or managing individuals

=
Understanding of risk controls in an operational environment, including
knowledge of RCSAs

If you would like to understand how we will process your data should you
apply to Rothesay Life, information can be found here: https://www.rothesaylife.com/media/1324/april-2019-ja-pn.pdf",4.8,Rothesay Life,"London, England","London, United Kingdom",201 to 500 employees,2007.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,Unsure,42000-51000 ,42000,51000,46500.0,13.0,0,0,0,0,0,0,1,0,1,Operations analyst,Junior Status
906,"Business Analyst, Sales Technology",£50K-£68K (Glassdoor Est.),"Job title: Business Analyst, Sales Technology
Job type: Permanent
Emp type: Full-time
Salary:
Negotiable
Location: London, United Kingdom
Job published: 2020-03-05
Job ID: 41713

Job Description

Our client is looking for a Business Analyst to join their London office. You will be expected to own the business process workflow within the technology platform for a key distribution channel within the firm. The platform includes the CRM system, Business Intelligence solution, and other integrated applications used by the business.

Responsibilities:
The focus of this position is to work closely with the business to understand their workflow and data needs from end to end and design the technical solutions to meet those needs.
On mid-size to larger projects you would be responsible for creating project plans, assigning tasks, tracking execution, as well as owning tasks.
On projects of all sizes you would be responsible for gathering requirements, designing solutions, testing solutions, communicating with stakeholders and executing training.
You would also be responsible for basic data transfer ensuring data from source systems reach the data warehouse and therefore would be expected to have or want to build some experience with SQL.


Requirements:
Having an in-depth understanding of the business processes of an asset management distribution function
Closely coordinating with business stakeholders to gather, organize, and prioritize requirements
Creating project plans for mid-size and larger projects and own the execution of the plan
Designing, testing, and training solutions provided to the business
Coordinating with development teams across the entire technology platform
Communicating with executive stakeholders on project status and deliverables
Writing and executing basic SQL queries to ensure data is appropriately reaching the data warehouse
Providing production support Requirements
Strong organizational, interpersonal, and communication skills
Strong project management skills
Ability to work on multiple concurrent projects at once
Experience working on large scale projects as well as handling day-to-day operational requests from the business
Extremely proficient in Excel and Powerpoint
Experience with task management tools such as JIRA
Experience in consulting a strong plus
Experience in the distribution arm of asset management a plus
Experience with SQL or the desire to learn
Experience in CRM and BI platforms
Education:
A Bachelor’s degree in Computer Science or related field
If you would like to be considered for the position of Business Analyst or wish to discuss the role further then please leave your details below. Your resume will be held in confidence until you connect with a member of our team",4.2,NJF Global Holdings,"London, England","London, United Kingdom",51 to 200 employees,2003.0,Company - Private,Staffing & Outsourcing,Business Services,£10 to £25 million (GBP),Unsure,50000-68000 ,50000,68000,59000.0,17.0,0,0,0,1,0,0,0,1,1,business analyst,Junior Status
931,BAU Operations Analyst,£42K-£51K (Glassdoor Est.),"BAU Operations Analyst


Role title: BAU Operations
Analyst

Reports to: Operations
Manager

Contract:

Permanent

Operations - Divisional Overview

The Operations division is an integral part of the independent control
and support structure whose key mandate is to establish and maintain an
effective control environment. Robust control and risk management drives our
business.

Operations strategy is underpinned by 3 guiding principles:

=
Payments: Pay our policyholders, Trustees and counterparties accurately
and on time, within regulatory guidelines

=
Policyholders: Follow the Regulator’s Treating Customers Fairly (TCF)
guidance and ensure a best-in-class policyholder experience

=
Data: Maintain accurate and complete data for risk and capital
management

These 3 principles drive our processes and controls, and are essential
for protecting our reputation, managing our risk and capital position, and
managing our Third Party Administrators (TPAs).

General activities of the Operations team include:

• Act
as an independent control over transactions of the Business

• Trade
capture and risk mitigation to ensure bookings are an accurate reflection of
business risk

• Execution
and management of lifecycle events

• Support
of project teams in department-wide initiatives

• Development
of technology infrastructure to support the risk management and processing
capabilities of transactions

• Close
data analysis and reconciliations involving breaking down and data manipulation

The Operations BAU Team is responsible for ensuring all operational
requirements across our Liability and Reinsurance contracts are serviced
correctly. This role will suit a person who is enthusiastic, ambitious and
hard-working, who has a desire to work in a fast-paced and demanding
environment, who can work independently as well as being part of a small team,
and who is able to communicate effectively and demonstrate initiative. It is
key that the candidate understands the role that Operations plays in a
financial services firm. The candidate must possess an analytical mind-set
where they are able to formulate processes that achieve the required
controls.

The position available gives the candidate a lot of autonomy and it is
important that they are self-driven to deliver against targets whilst managing
time and expectations independently. The role would ideally suit a
graduate or an analyst with 1-2 years’ work experience.

Responsibilities:

=
Complete a range of daily control activities which include ensuring
front to back data flows are accurate, trade capture is correct and
payments/funding occur accurately and on time

=
Execution and management of lifecycle events such as routine data
cleanses

=
Monitor accuracy of liability and reinsurance data being maintained by
TPAs which ultimately drives the P/L for the business. This is done through
data reconciliations and the use of exception reporting

=
Work with our TPAs to ensure operational service is delivered accurately
and per SLA. This will involve resolving queries and working with our
TPAs to refine and build process improvements

=
Reporting of key risk metrics to management

=
Perform a number of data reconciliations, analysing results and seeing
issues through to completion

=
Continuous process improvement is key in this growth business and
supporting projects and technology change is a function of this role

Skills & Experience:

Required:

=
Minimum 2:1 degree from a leading university (please note strong
candidates with exceptional work experience will also be considered should the
degree criteria not be met)

=
Demonstrable ability to manage multiple projects, tasks and own
workload, whilst remaining focused on operational risks

=
Ability to demonstrate collaborative working practises, soliciting
feedback from others on work and ideas

=
Ability to think about the big picture and deliver above and beyond core
functions

=
Accuracy and absolute attention to detail

=
Strong communication skills to clearly articulate status and issues to
others

Preferred:

=
Strong MS Excel / VBA skills

=
Some pensions, insurance and/or reinsurance knowledge

=
Ability to work with complex documentation and identify operational
controls

=
Experience supervising or managing individuals

=
Understanding of risk controls in an operational environment, including
knowledge of RCSAs

If you would like to understand how we will process your data should you
apply to Rothesay Life, information can be found here: https://www.rothesaylife.com/media/1324/april-2019-ja-pn.pdf",4.8,Rothesay Life,"London, England","London, United Kingdom",201 to 500 employees,2007.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,Unsure,42000-51000 ,42000,51000,46500.0,13.0,0,0,0,0,0,0,1,0,1,Operations analyst,Junior Status
936,"Business Analyst, Sales Technology",£50K-£68K (Glassdoor Est.),"Job title: Business Analyst, Sales Technology
Job type: Permanent
Emp type: Full-time
Salary:
Negotiable
Location: London, United Kingdom
Job published: 2020-03-05
Job ID: 41713

Job Description

Our client is looking for a Business Analyst to join their London office. You will be expected to own the business process workflow within the technology platform for a key distribution channel within the firm. The platform includes the CRM system, Business Intelligence solution, and other integrated applications used by the business.

Responsibilities:
The focus of this position is to work closely with the business to understand their workflow and data needs from end to end and design the technical solutions to meet those needs.
On mid-size to larger projects you would be responsible for creating project plans, assigning tasks, tracking execution, as well as owning tasks.
On projects of all sizes you would be responsible for gathering requirements, designing solutions, testing solutions, communicating with stakeholders and executing training.
You would also be responsible for basic data transfer ensuring data from source systems reach the data warehouse and therefore would be expected to have or want to build some experience with SQL.


Requirements:
Having an in-depth understanding of the business processes of an asset management distribution function
Closely coordinating with business stakeholders to gather, organize, and prioritize requirements
Creating project plans for mid-size and larger projects and own the execution of the plan
Designing, testing, and training solutions provided to the business
Coordinating with development teams across the entire technology platform
Communicating with executive stakeholders on project status and deliverables
Writing and executing basic SQL queries to ensure data is appropriately reaching the data warehouse
Providing production support Requirements
Strong organizational, interpersonal, and communication skills
Strong project management skills
Ability to work on multiple concurrent projects at once
Experience working on large scale projects as well as handling day-to-day operational requests from the business
Extremely proficient in Excel and Powerpoint
Experience with task management tools such as JIRA
Experience in consulting a strong plus
Experience in the distribution arm of asset management a plus
Experience with SQL or the desire to learn
Experience in CRM and BI platforms
Education:
A Bachelor’s degree in Computer Science or related field
If you would like to be considered for the position of Business Analyst or wish to discuss the role further then please leave your details below. Your resume will be held in confidence until you connect with a member of our team",4.2,NJF Global Holdings,"London, England","London, United Kingdom",51 to 200 employees,2003.0,Company - Private,Staffing & Outsourcing,Business Services,£10 to £25 million (GBP),Unsure,50000-68000 ,50000,68000,59000.0,17.0,0,0,0,1,0,0,0,1,1,business analyst,Junior Status
961,BAU Operations Analyst,£42K-£51K (Glassdoor Est.),"BAU Operations Analyst


Role title: BAU Operations
Analyst

Reports to: Operations
Manager

Contract:

Permanent

Operations - Divisional Overview

The Operations division is an integral part of the independent control
and support structure whose key mandate is to establish and maintain an
effective control environment. Robust control and risk management drives our
business.

Operations strategy is underpinned by 3 guiding principles:

=
Payments: Pay our policyholders, Trustees and counterparties accurately
and on time, within regulatory guidelines

=
Policyholders: Follow the Regulator’s Treating Customers Fairly (TCF)
guidance and ensure a best-in-class policyholder experience

=
Data: Maintain accurate and complete data for risk and capital
management

These 3 principles drive our processes and controls, and are essential
for protecting our reputation, managing our risk and capital position, and
managing our Third Party Administrators (TPAs).

General activities of the Operations team include:

• Act
as an independent control over transactions of the Business

• Trade
capture and risk mitigation to ensure bookings are an accurate reflection of
business risk

• Execution
and management of lifecycle events

• Support
of project teams in department-wide initiatives

• Development
of technology infrastructure to support the risk management and processing
capabilities of transactions

• Close
data analysis and reconciliations involving breaking down and data manipulation

The Operations BAU Team is responsible for ensuring all operational
requirements across our Liability and Reinsurance contracts are serviced
correctly. This role will suit a person who is enthusiastic, ambitious and
hard-working, who has a desire to work in a fast-paced and demanding
environment, who can work independently as well as being part of a small team,
and who is able to communicate effectively and demonstrate initiative. It is
key that the candidate understands the role that Operations plays in a
financial services firm. The candidate must possess an analytical mind-set
where they are able to formulate processes that achieve the required
controls.

The position available gives the candidate a lot of autonomy and it is
important that they are self-driven to deliver against targets whilst managing
time and expectations independently. The role would ideally suit a
graduate or an analyst with 1-2 years’ work experience.

Responsibilities:

=
Complete a range of daily control activities which include ensuring
front to back data flows are accurate, trade capture is correct and
payments/funding occur accurately and on time

=
Execution and management of lifecycle events such as routine data
cleanses

=
Monitor accuracy of liability and reinsurance data being maintained by
TPAs which ultimately drives the P/L for the business. This is done through
data reconciliations and the use of exception reporting

=
Work with our TPAs to ensure operational service is delivered accurately
and per SLA. This will involve resolving queries and working with our
TPAs to refine and build process improvements

=
Reporting of key risk metrics to management

=
Perform a number of data reconciliations, analysing results and seeing
issues through to completion

=
Continuous process improvement is key in this growth business and
supporting projects and technology change is a function of this role

Skills & Experience:

Required:

=
Minimum 2:1 degree from a leading university (please note strong
candidates with exceptional work experience will also be considered should the
degree criteria not be met)

=
Demonstrable ability to manage multiple projects, tasks and own
workload, whilst remaining focused on operational risks

=
Ability to demonstrate collaborative working practises, soliciting
feedback from others on work and ideas

=
Ability to think about the big picture and deliver above and beyond core
functions

=
Accuracy and absolute attention to detail

=
Strong communication skills to clearly articulate status and issues to
others

Preferred:

=
Strong MS Excel / VBA skills

=
Some pensions, insurance and/or reinsurance knowledge

=
Ability to work with complex documentation and identify operational
controls

=
Experience supervising or managing individuals

=
Understanding of risk controls in an operational environment, including
knowledge of RCSAs

If you would like to understand how we will process your data should you
apply to Rothesay Life, information can be found here: https://www.rothesaylife.com/media/1324/april-2019-ja-pn.pdf",4.8,Rothesay Life,"London, England","London, United Kingdom",201 to 500 employees,2007.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,Unsure,42000-51000 ,42000,51000,46500.0,13.0,0,0,0,0,0,0,1,0,1,Operations analyst,Junior Status
